Institute,Branch,Category,Gender,Quota,mean,std,count,NIRF_Rank,Priority
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),HS,15393.653333333334,3406.6838045722666,29.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),OS,7615.333333333333,1177.0146143098013,30.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,HS,14696.64,2536.8884610612163,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,OS,7072.266666666667,1174.3624388642231,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),HS,54257.094117647066,23049.622880981497,39.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),OS,17473.277777777777,2918.8437474368543,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,HS,76788.41111111111,30205.29954595676,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,OS,14183.964444444446,2052.53269276717,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Female-only (including Supernumerary),OS,1439.0,142.8355697996826,2.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,OS,628.0,111.69153951844338,3.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),HS,57139.68444444444,12247.421165788131,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),OS,47391.08666666666,6793.698332852651,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,HS,66499.01777777777,15263.115607208916,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,OS,42517.57777777778,7034.960384550514,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,OS,1616.3333333333333,802.2574210918648,12.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),HS,11750.644444444444,2759.5868445184005,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),OS,8381.60888888889,2596.821099334958,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,HS,12629.35777777778,1645.190201028737,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,OS,7228.426666666666,1418.03427321063,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),OS,3293.0,141.04609175726918,6.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,HS,16154.0,500.0,6.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,OS,2870.1911111111112,293.14586396702856,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),HS,11120.746666666666,1793.4711576374211,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),OS,6937.533333333334,957.3087627442312,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,HS,11040.533333333333,1008.1960693663283,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,OS,5519.373333333333,1000.7023441126763,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,OS,370.0,500.0,2.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),HS,55562.83111111111,12550.59609817447,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),OS,16045.415555555555,1875.9390113727693,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,HS,58098.70444444445,10098.572656327327,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,OS,11468.66888888889,1910.9211266923146,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,OS,876.0,322.40735103282,5.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),HS,48203.23777777777,4008.7253242907227,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),OS,39075.45777777778,6146.567610781031,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,HS,52557.92,7401.094792120367,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,OS,33534.991111111114,5724.26718208988,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,HS,1427.8000000000002,458.0545819004543,6.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,OS,1946.7876923076922,446.7517869463815,31.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),HS,9699.193333333335,2277.041641917071,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),OS,7310.6,1256.3135643426044,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,HS,10466.617777777778,1302.753415729593,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,OS,6265.0,868.2991405967044,41.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),HS,18656.5,2724.4824279117674,2.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),OS,3567.7999999999997,336.78556626889286,35.0,55.0,10
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,OS,2342.924444444445,298.1229509823741,41.0,55.0,10
